ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"5.182.34.195","elite","AS209242","IT","Cloudflare London, LLC","11","N/A","80","http","20","100","41","41","2025-08-02T09:52:01.589Z","4974"
"45.131.209.87","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","27","100","39","39","2025-08-02T09:51:59.515Z","4002"
"159.112.235.182","elite","AS209242","US","Cloudflare London, LLC","11","Confluence Technologies","80","http","19","100","38","38","2025-08-02T09:51:57.020Z","2612"
"154.92.9.158","elite","AS209242","CY","Cloudflare London, LLC","12","Salo Solutions KFT","80","http","12","100","38","38","2025-08-02T09:51:57.384Z","2897"
"154.83.2.76","elite","AS209242","PH","Cloudflare London, LLC","10","Softmedia Entertainment Solutions, Inc","80","http","17","100","41","41","2025-08-02T09:51:56.509Z","1693"
"159.112.235.102","elite","AS209242","US","Cloudflare London, LLC","11","Confluence Technologies","80","http","14","100","41","41","2025-08-02T09:51:56.879Z","3205"
"104.16.73.80","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","23","100","85","85","2025-08-02T09:51:55.834Z","2283"
"104.16.45.59","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","14","100","37","37","2025-08-02T09:51:55.303Z","191"
"5.182.34.194","elite","AS209242","IT","Cloudflare London, LLC","7","N/A","80","http","11","100","36","36","2025-08-02T09:51:54.318Z","1828"
"45.131.209.173","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","18","100","39","39","2025-08-02T09:51:53.332Z","2991"
"45.131.211.109","elite","AS209242","BZ","Cloudflare London, LLC","3","Inter Networks","80","http","11","100","39","39","2025-08-02T09:51:53.487Z","2129"
"45.131.209.66","elite","AS209242","BZ","Cloudflare London, LLC","10","Inter Networks","80","http","34","100","39","39","2025-08-02T09:51:52.415Z","930"
"154.92.9.151","elite","AS209242","CY","Cloudflare London, LLC","12","Salo Solutions KFT","80","http","27","100","40","40","2025-08-02T09:51:50.012Z","3815"
"154.83.2.71","elite","AS209242","PH","Cloudflare London, LLC","7","Softmedia Entertainment Solutions, Inc","80","http","18","100","38","38","2025-08-02T09:51:47.144Z","3729"
"104.17.100.48","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","12","100","39","39","2025-08-02T09:51:46.213Z","4799"
"104.16.80.80","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","24","100","38","38","2025-08-02T09:51:46.997Z","469"
"5.182.34.84","elite","AS209242","IT","Cloudflare London, LLC","7","N/A","80","http","13","100","40","40","2025-08-02T09:51:44.613Z","3278"
"45.131.211.107","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","19","100","39","39","2025-08-02T09:51:44.109Z","1180"
"45.131.209.56","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","10","100","39","39","2025-08-02T09:51:43.025Z","5203"
"199.34.228.154","elite","AS27647","US","Weebly, Inc.","7","Weebly, Inc.","80","http","30","100","39","39","2025-08-02T09:51:42.660Z","1489"
"172.67.181.203","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","18","100","38","38","2025-08-02T09:51:41.054Z","3479"
"172.67.179.169","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","39","39","2025-08-02T09:51:41.755Z","2101"
"172.67.179.253","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","25","100","38","38","2025-08-02T09:51:41.223Z","1916"
"104.17.1.73","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","11","100","40","40","2025-08-02T09:51:39.282Z","2089"
"104.16.40.172","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","18","100","40","40","2025-08-02T09:51:38.294Z","3405"
"62.72.166.103","elite","AS209242","CW","Cloudflare London, LLC","3","N/A","80","http","18","100","39","39","2025-08-02T09:51:37.923Z","2110"
"45.131.208.81","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","25","100","40","40","2025-08-02T09:51:36.005Z","3301"
"45.131.211.179","elite","AS209242","BZ","Cloudflare London, LLC","10","Inter Networks","80","http","16","100","39","39","2025-08-02T09:51:36.228Z","2214"
"198.177.57.216","elite","AS209242","DE","Serveryou Inc","10","Prime Formation GmbH","80","http","12","100","40","40","2025-08-02T09:51:34.819Z","3679"
"172.67.180.121","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","22","100","39","39","2025-08-02T09:51:34.281Z","3877"
"172.67.178.171","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","http","17","100","40","40","2025-08-02T09:51:34.103Z","985"
"159.112.235.111","elite","AS209242","US","Cloudflare London, LLC","10","Confluence Technologies","80","http","11","100","38","38","2025-08-02T09:51:32.483Z","4386"
"156.225.72.76","elite","AS209242","US","GS TECHNOLOGIES LIMITED","7","GS Technologies Limited","80","http","17","100","38","38","2025-08-02T09:51:32.323Z","1505"
"154.83.2.2","elite","AS209242","PH","Cloudflare London, LLC","7","Softmedia Entertainment Solutions, Inc","80","http","11","100","37","37","2025-08-02T09:51:31.930Z","5084"
"104.16.36.152","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","25","100","38","38","2025-08-02T09:51:30.596Z","1080"
"5.182.34.79","elite","AS209242","IT","Cloudflare London, LLC","4","N/A","80","http","19","100","38","38","2025-08-02T09:51:22.087Z","3296"
"172.67.180.10","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","22","100","38","38","2025-08-02T09:51:19.405Z","2685"
"154.92.9.202","elite","AS209242","CY","Cloudflare London, LLC","12","Salo Solutions KFT","80","http","27","100","37","37","2025-08-02T09:51:17.093Z","2302"
